system_name,n_particles,theta,softening,mean_relative_error,median_relative_error,max_relative_error,direct_runtime_s,barnes_hut_runtime_s,speedup
random_cloud,100,0.5,0.05,0.00836365953674708,0.0062883373003529905,0.030282610261670666,0.0004561939999803144,0.010792034000019157,0.04227136422842113
random_cloud,300,0.5,0.05,0.006452375755338329,0.004980664479521979,0.04991545412404658,0.004238393000036922,0.055639490999965346,0.07617598442874975
random_cloud,1000,0.5,0.05,0.005214221419607998,0.004189303053874621,0.0714095180380419,0.05371007799999461,0.30619964599998184,0.17540868744178037
random_cloud,3000,0.5,0.05,0.004825240920512752,0.003604321487674465,0.09556022384072868,0.6232243279999921,1.2398201290000088,0.5026731809094444
random_cloud,6000,0.5,0.05,0.004004625026431262,0.0031666805263753867,0.15227242361630225,2.54382031800003,3.1490746929999887,0.8077992953468631
