step,time,body_id,mass,x,y,z,vx,vy,vz
0,0.0,0,1.0,-1.0,0.0,0.0,,,
0,0.0,1,1.0,1.0,0.0,0.0,,,
1,0.049999999999999996,0,1.0,-0.9996875278320223,-0.024997422049041693,0.0,,,
1,0.049999999999999996,1,1.0,0.9996875278320223,0.024997422049041693,0.0,,,
2,0.10000000000000002,0,1.0,-0.9987503066286698,-0.04997922210152104,0.0,,,
2,0.10000000000000002,1,1.0,0.9987503066286698,0.04997922210152104,0.0,,,
3,0.15000000000000005,0,1.0,-0.9971889221695333,-0.07492978792718318,0.0,,,
3,0.15000000000000005,1,1.0,0.9971889221695333,0.07492978792718318,0.0,,,
4,0.2000000000000001,0,1.0,-0.9950043503468337,-0.09983352682227406,0.0,,,
4,0.2000000000000001,1,1.0,0.9950043503468337,0.09983352682227406,0.0,,,
5,0.2500000000000001,0,1.0,-0.9921979565550454,-0.12467487535750957,0.0,,,
5,0.2500000000000001,1,1.0,0.9921979565550454,0.12467487535750957,0.0,,,
6,0.30000000000000016,0,1.0,-0.9887714948369032,-0.14943830910771744,0.0,,,
6,0.30000000000000016,1,1.0,0.9887714948369032,0.14943830910771744,0.0,,,
7,0.3500000000000002,0,1.0,-0.9847271067863318,-0.17410835235706126,0.0,,,
7,0.3500000000000002,1,1.0,0.9847271067863318,0.17410835235706126,0.0,,,
8,0.40000000000000024,0,1.0,-0.980067320208983,-0.19866958777377117,0.0,,,
8,0.40000000000000024,1,1.0,0.980067320208983,0.19866958777377117,0.0,,,
9,0.4500000000000003,0,1.0,-0.9747950475412227,-0.22310666604832363,0.0,,,
9,0.4500000000000003,1,1.0,0.9747950475412227,0.22310666604832363,0.0,,,
10,0.5000000000000003,0,1.0,-0.9689135840285568,-0.24740431548903866,0.0,,,
10,0.5000000000000003,1,1.0,0.9689135840285568,0.24740431548903866,0.0,,,
11,0.5500000000000004,0,1.0,-0.9624266056646426,-0.27154735156908594,0.0,,,
11,0.5500000000000004,1,1.0,0.9624266056646426,0.27154735156908594,0.0,,,
12,0.6000000000000004,0,1.0,-0.955338166892173,-0.2955206864189252,0.0,,,
12,0.6000000000000004,1,1.0,0.955338166892173,0.2955206864189252,0.0,,,
13,0.6500000000000005,0,1.0,-0.9476526980670809,-0.3193093382582384,0.0,,,
13,0.6500000000000005,1,1.0,0.9476526980670809,0.3193093382582384,0.0,,,
14,0.7000000000000005,0,1.0,-0.9393750026876483,-0.34289844076145004,0.0,,,
14,0.7000000000000005,1,1.0,0.9393750026876483,0.34289844076145004,0.0,,,
15,0.7500000000000006,0,1.0,-0.9305102543902636,-0.36627325235097447,0.0,,,
15,0.7500000000000006,1,1.0,0.9305102543902636,0.36627325235097447,0.0,,,
16,0.8000000000000006,0,1.0,-0.9210639937137057,-0.3894191654123728,0.0,,,
16,0.8000000000000006,1,1.0,0.9210639937137057,0.3894191654123728,0.0,,,
17,0.8500000000000006,0,1.0,-0.9110421246339891,-0.4123217154256534,0.0,,,
17,0.8500000000000006,1,1.0,0.9110421246339891,0.4123217154256534,0.0,,,
18,0.9000000000000007,0,1.0,-0.9004509108719382,-0.43496659000700005,0.0,,,
18,0.9000000000000007,1,1.0,0.9004509108719382,0.43496659000700005,0.0,,,
19,0.9500000000000007,0,1.0,-0.8892969719758084,-0.4573396378552717,0.0,,,
19,0.9500000000000007,1,1.0,0.8892969719758084,0.4573396378552717,0.0,,,
20,1.0000000000000007,0,1.0,-0.8775872791814111,-0.47942687759767266,0.0,,,
20,1.0000000000000007,1,1.0,0.8775872791814111,0.47942687759767266,0.0,,,
21,1.0499999999999996,0,1.0,-0.8653291510523357,-0.5012145065290625,0.0,,,
21,1.0499999999999996,1,1.0,0.8653291510523357,0.5012145065290625,0.0,,,
22,1.0999999999999985,0,1.0,-0.8525302489030054,-0.5226889092394345,0.0,,,
22,1.0999999999999985,1,1.0,0.8525302489030054,0.5226889092394345,0.0,,,
23,1.1499999999999975,0,1.0,-0.839198572007432,-0.5438366661241649,0.0,,,
23,1.1499999999999975,1,1.0,0.839198572007432,0.5438366661241649,0.0,,,
24,1.1999999999999964,0,1.0,-0.8253424525966772,-0.564644561771714,0.0,,,
24,1.1999999999999964,1,1.0,0.8253424525966772,0.564644561771714,0.0,,,
25,1.2499999999999953,0,1.0,-0.8109705506481554,-0.5850995932235261,0.0,,,
25,1.2499999999999953,1,1.0,0.8109705506481554,0.5850995932235261,0.0,,,
26,1.2999999999999943,0,1.0,-0.7960918484700426,-0.6051889781009662,0.0,,,
