system_name,integrator,dt,softening,n_steps,actual_total_time,initial_energy,final_energy,relative_energy_drift,max_relative_energy_drift,relative_angular_momentum_drift,center_of_mass_drift
figure_eight,leapfrog,0.02,0.001,314,6.279999999999954,-1.2871409292670963,-1.287144551259544,-2.813982809020519e-06,0.00023768900692579538,1.582067810090848e-15,1.353461845127051e-15
figure_eight,leapfrog,0.01,0.001,628,6.2799999999999105,-1.2871409292670963,-1.28714178270703,-6.630508860427377e-07,5.903281203984051e-05,1.7069679003611782e-15,1.2330679993244896e-14
figure_eight,leapfrog,0.005,0.001,1256,6.279999999999888,-1.2871409292670963,-1.2871411393792305,-1.6323941641373867e-07,1.473816008507734e-05,1.4779844015322396e-15,3.5519260390788913e-15
figure_eight,leapfrog,0.0025,0.001,2512,6.280000000000282,-1.2871409292670963,-1.287140981592244,-4.0652228967653806e-08,3.6830049995285043e-06,5.273559366969494e-16,1.4090021855097688e-14
