system_name,integrator,dt,softening,n_steps,actual_total_time,initial_energy,final_energy,relative_energy_drift,max_relative_energy_drift,relative_angular_momentum_drift,center_of_mass_drift
binary_orbit,euler,0.02,0.01,1000,19.999999999999662,-0.24999375011718505,-0.21334088208034246,0.14661513745708238,0.14661513745708238,0.08208563912402456,0.0
binary_orbit,euler,0.01,0.01,2000,20.000000000000327,-0.24999375011718505,-0.2289311967731518,0.0842523196446317,0.0842523196446317,0.044880975330364725,0.0
binary_orbit,euler,0.005,0.01,4000,20.000000000000306,-0.24999375011718505,-0.23858015857325188,0.04565550754202068,0.04565550754202068,0.02361412420374287,0.0
binary_orbit,euler,0.0025,0.01,8000,20.000000000001005,-0.24999375011718505,-0.2440309840332091,0.023851660616238956,0.023851660616238956,0.012137413038931566,0.0
binary_orbit,leapfrog,0.02,0.01,1000,19.999999999999662,-0.24999375011718505,-0.24999374868080576,5.7456608119661685e-09,6.247273557865268e-09,6.661338147750939e-16,0.0
binary_orbit,leapfrog,0.01,0.01,2000,20.000000000000327,-0.24999375011718505,-0.249993749865794,1.0055893267346931e-09,1.0934158257412759e-09,3.9968028886505635e-15,0.0
binary_orbit,leapfrog,0.005,0.01,4000,20.000000000000306,-0.24999375011718505,-0.24999375006107058,2.2446350819614885e-10,2.440755331060697e-10,9.992007221626409e-16,0.0
binary_orbit,leapfrog,0.0025,0.01,8000,20.000000000001005,-0.24999375011718505,-0.24999375010357916,5.4424937354257725e-11,5.918114067230295e-11,3.9968028886505635e-15,0.0
